PartNumber,Description,Sellable,Length,Weight,Width,Height,productPageUrl,image1_url,image1_name,image2_url,image2_name,image3_url,image3_name,image4_url,image4_name,image5_url,image5_name,image6_url,image6_name,image7_url,image7_name,image8_url,image8_name,image9_url,image9_name
5471859,Fuel Pump,Y,58.5 In,59 Lbs,40 In,58.5 In,https://parts.cummins.com/esn-entry/main/part-details/5471859/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_iso.png?x-image-size=medium,5471859_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_iso2.png?x-image-size=medium,5471859_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_front.png?x-image-size=medium,5471859_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_top.png?x-image-size=medium,5471859_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_right.png?x-image-size=medium,5471859_image5.jpg,,,,,,,,
5471859RX,Fuel Pump,Y,58.5 In,62 Lbs,40 In,58.5 In,https://parts.cummins.com/esn-entry/main/part-details/5471859rx/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_iso2.png?x-image-size=medium,5471859RX_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_iso.png?x-image-size=medium,5471859RX_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_right.png?x-image-size=medium,5471859RX_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_front.png?x-image-size=medium,5471859RX_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_top.png?x-image-size=medium,5471859RX_image5.jpg,,,,,,,,
5471859,Fuel Pump,Y,58.5 In,59 Lbs,40 In,58.5 In,https://parts.cummins.com/esn-entry/main/part-details/5471859/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_iso.png?x-image-size=medium,5471859_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_iso2.png?x-image-size=medium,5471859_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_front.png?x-image-size=medium,5471859_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_top.png?x-image-size=medium,5471859_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859/5471859_right.png?x-image-size=medium,5471859_image5.jpg,,,,,,,,
5471859RX,Fuel Pump,Y,58.5 In,62 Lbs,40 In,58.5 In,https://parts.cummins.com/esn-entry/main/part-details/5471859rx/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_iso2.png?x-image-size=medium,5471859RX_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_iso.png?x-image-size=medium,5471859RX_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_right.png?x-image-size=medium,5471859RX_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_front.png?x-image-size=medium,5471859RX_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/547/5471859RX/5471859RX_top.png?x-image-size=medium,5471859RX_image5.jpg,,,,,,,,
5539096,Fuel Pump,Y,59 In,78 Lbs,39 In,44 In,https://parts.cummins.com/esn-entry/main/part-details/5539096/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_iso.png?x-image-size=medium,5539096_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_iso2.png?x-image-size=medium,5539096_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_top.png?x-image-size=medium,5539096_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_front.png?x-image-size=medium,5539096_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_right.png?x-image-size=medium,5539096_image5.jpg,,,,,,,,
5539096RX,Fuel Pump,N,59 In,77 Lbs,39 In,37.5 In,https://parts.cummins.com/esn-entry/main/part-details/5539096rx/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_iso.png?x-image-size=medium,5539096RX_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_iso2.png?x-image-size=medium,5539096RX_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_front.png?x-image-size=medium,5539096RX_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_right.png?x-image-size=medium,5539096RX_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_top.png?x-image-size=medium,5539096RX_image5.jpg,,,,,,,,
5539096,Fuel Pump,Y,59 In,78 Lbs,39 In,44 In,https://parts.cummins.com/esn-entry/main/part-details/5539096/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_iso.png?x-image-size=medium,5539096_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_iso2.png?x-image-size=medium,5539096_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_top.png?x-image-size=medium,5539096_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_front.png?x-image-size=medium,5539096_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096/5539096_right.png?x-image-size=medium,5539096_image5.jpg,,,,,,,,
5539096RX,Fuel Pump,N,59 In,77 Lbs,39 In,37.5 In,https://parts.cummins.com/esn-entry/main/part-details/5539096rx/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_iso.png?x-image-size=medium,5539096RX_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_iso2.png?x-image-size=medium,5539096RX_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_front.png?x-image-size=medium,5539096RX_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_right.png?x-image-size=medium,5539096RX_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/553/5539096RX/5539096RX_top.png?x-image-size=medium,5539096RX_image5.jpg,,,,,,,,
3640480,Fuel Transfer Tank,Y,66 mm,9 Kgs,35 mm,20 mm,https://parts.cummins.com/esn-entry/main/part-details/3640480/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3640480/part,no image available,no image available,,,,,,,,,,,,,,,,
